dataset,horizon,n_points,naive_sub_r2,ensemble_sub_r2,chronos2_r2,delta_ens_c2_pp,delta_naive_c2_pp,full_test_ens_r2_ref,delta_vs_full_test_pp,c2_n_points_json,ensemble_source,naive_source,diag_passed,note,timesfm_r2,timesfm_n_points,timesfm_coverage,timesfm_naive_sub,delta_timesfm_naive_pp,delta_timesfm_ens_pp,delta_timesfm_c2_pp,ttm_r2,ttm_n_points,ttm_coverage,delta_ttm_naive_pp,delta_ttm_ens_pp,delta_ttm_c2_pp,delta_ttm_tfm_pp
alibaba,10min,98389,0.920081,0.922363,0.919049,-0.3314,-0.1032,0.9213,0.1063,98389,hetero_ensemble,recomputed from y_naive.npy on same positions,True,,0.8988681284213061,98388.0,0.6988250599666626,0.9149851437796832,-1.6117015358377065,-2.34948715786939,-2.018087157869386,0.8659777961679718,98388.0,,-5.410320383202826,-5.6385203832028274,-5.3071203832028235,-3.2890332253334376
alibaba,30min,98385,0.832383,0.837487,0.857217,1.973,2.4834,0.8404,-0.2913,98385,hetero_ensemble,recomputed from y_naive.npy on same positions,True,,0.8534911831615005,98384.0,0.6852333712798829,0.8341140754866493,1.9377107674851235,1.600418316150054,-0.3725816838499485,0.8089377920883382,98384.0,,-2.3445207911661825,-2.8549207911661822,-4.827920791166185,-4.455339107316236
alibaba,60min,98373,0.787891,0.802915,0.824094,2.1179,3.6203,0.8011,0.1815,98373,hetero_ensemble,recomputed from y_naive.npy on same positions,True,,0.8309343061264287,98370.0,0.7202805733455322,0.7892839191878593,4.165038693856937,2.8019306126428667,0.6840306126428719,0.765015581352733,98370.0,,-2.2875418647267054,-3.789941864726709,-5.907841864726704,-6.591872477369575
alibaba,120min,98315,0.708541,0.758416,0.761177,0.2761,5.2636,0.7642,-0.5784,98315,hetero_ensemble,recomputed from y_naive.npy on same positions,True,,0.7726108624278891,98310.0,0.7317872037432611,0.7082674714943623,6.434339093352682,1.4194862427889143,1.143386242788913,0.6810153643308136,98310.0,,-2.752563566918642,-7.740063566918643,-8.016163566918644,-9.159549809707556
bitbrains,10min,7100,0.8114589303885196,,0.8210231460299855,,0.9564215641465924,,,7100,,,,"ensemble N/A: per-VM XGB on full 20% test split, not subsampleable",0.7263500880324607,7100.0,0.8225352112676056,0.8080238523440398,-8.167376431157914,,-9.46730579975248,0.7087596971367208,7100.0,,-10.269923325179874,,-11.226344889326468,-1.7590390895739882
bitbrains,30min,7100,0.4769423247539874,,0.4945565800848823,,1.761425533089489,,,7100,,,,"ensemble N/A: per-VM XGB on full 20% test split, not subsampleable",0.5290537720664417,7100.0,0.783661971830986,0.4926262625711836,3.642750949525808,,3.449719198155937,0.4833321703528103,7100.0,,0.6389845598822885,,-1.1224409732072005,-4.572160171363137
bitbrains,60min,7100,0.1957266215884441,,0.2179045745667174,,2.2177952978273296,,,7100,,,,"ensemble N/A: per-VM XGB on full 20% test split, not subsampleable",0.28727984588175,7100.0,0.7742253521126761,0.1848217816125156,10.245806426923442,,6.937527131503263,0.3396312190176649,7100.0,,14.390459742922083,,12.17266444509475,5.235137313591492
bitbrains,120min,7100,0.0914140646363722,,0.1473855193751145,,5.597145473874232,,,7100,,,,"ensemble N/A: per-VM XGB on full 20% test split, not subsampleable",0.2365596802956687,7100.0,0.7835211267605634,0.0981091726184351,13.845050767723366,,8.917416092055428,0.2758685814430667,7100.0,,18.44545168066945,,12.84830620679522,3.9308901147397988
bytedance,10min,4650,0.7828888393757805,0.8548204401374633,0.9546026506070742,9.978221046961089,17.171381123129372,0.8549,-0.0079559862536715,4650,,,,,0.840822344258143,4650.0,0.6645161290322581,0.7828888393757805,5.793350488236248,-1.3998095879320327,-11.378030634893122,0.7989204493726417,4650.0,,1.6031609996861262,-5.5899990764821545,-15.568220123443243,-4.190189488550122
bytedance,30min,4650,0.7528819392041521,0.8054966941625206,0.942300342408981,13.68036482464604,18.94184032048288,0.8014,0.4096694162520564,4650,,,,,0.8730749045637878,4650.0,0.7176344086021506,0.7528819392041521,12.019296535963564,6.757821040126721,-6.92254378451932,0.7661264311266308,4650.0,,1.3244491922478674,-3.937026303588975,-17.617391128235017,-10.694847343715697
bytedance,60min,4650,0.6720621715968177,0.7406073067580017,0.926532473176692,18.59251664186903,25.447030157987427,0.7629,-2.229269324199834,4650,,,,,0.8879783835330177,4650.0,0.7473118279569892,0.6720621715968177,21.591621193620004,14.737107677501603,-3.855408964367424,0.7130757679315725,4650.0,,4.101359633475477,-2.7531538826429225,-21.345670524511952,-17.490261560144525
bytedance,120min,4650,0.6522737579989881,0.7668056914569368,0.9102825327555544,14.347684129861747,25.800877475656613,0.7601,0.670569145693678,4650,,,,,0.8834154001253961,4650.0,0.7479569892473118,0.6522737579989881,23.1141642126408,11.660970866845933,-2.6867132630158275,0.6961482223880036,4650.0,,4.387446438901543,-7.065746906893322,-21.41343103675508,-18.726717773739253
